build_type,test_type,time_type,benchmark_name,dataset_name,time
no_op,distrdf_py,getvalue_trigger,df104,ggh,9.46118402481079
no_op,distrdf_py,getvalue_trigger,df104,ggh,9.41458010673523
no_op,distrdf_py,getvalue_trigger,df104,ggh,9.42981505393982
no_op,distrdf_py,getvalue_trigger,df104,ggh,9.48267197608948
no_op,distrdf_py,getvalue_trigger,df104,ggh,9.43135404586792
no_op,distrdf_py,jit,df104,ggh,1.192162
no_op,distrdf_py,jit,df104,ggh,1.199586
no_op,distrdf_py,jit,df104,ggh,1.193761
no_op,distrdf_py,jit,df104,ggh,1.187528
no_op,distrdf_py,jit,df104,ggh,1.193687
no_op,distrdf_py,event_loop,df104,ggh,6.60509
no_op,distrdf_py,event_loop,df104,ggh,6.55276
no_op,distrdf_py,event_loop,df104,ggh,6.5763
no_op,distrdf_py,event_loop,df104,ggh,6.6396
no_op,distrdf_py,event_loop,df104,ggh,6.58133
no_op,distrdf_py,getvalue_trigger,df104,vbf,3.4855329990387
no_op,distrdf_py,getvalue_trigger,df104,vbf,3.46366596221924
no_op,distrdf_py,getvalue_trigger,df104,vbf,3.46583294868469
no_op,distrdf_py,getvalue_trigger,df104,vbf,3.50664401054382
no_op,distrdf_py,getvalue_trigger,df104,vbf,3.48396396636963
no_op,distrdf_py,jit,df104,vbf,0.291892
no_op,distrdf_py,jit,df104,vbf,0.292906
no_op,distrdf_py,jit,df104,vbf,0.293303
no_op,distrdf_py,jit,df104,vbf,0.294435
no_op,distrdf_py,jit,df104,vbf,0.29532
no_op,distrdf_py,event_loop,df104,vbf,3.14292
no_op,distrdf_py,event_loop,df104,vbf,3.11994
no_op,distrdf_py,event_loop,df104,vbf,3.12316
no_op,distrdf_py,event_loop,df104,vbf,3.16124
no_op,distrdf_py,event_loop,df104,vbf,3.13781
no_op,distrdf_py,getvalue_trigger,df104,data,23.1300621032715
no_op,distrdf_py,getvalue_trigger,df104,data,22.9462230205536
no_op,distrdf_py,getvalue_trigger,df104,data,23.0115950107574
no_op,distrdf_py,getvalue_trigger,df104,data,23.3070619106293
no_op,distrdf_py,getvalue_trigger,df104,data,22.9027998447418
no_op,distrdf_py,jit,df104,data,0.460007
no_op,distrdf_py,jit,df104,data,0.460249
no_op,distrdf_py,jit,df104,data,0.460656
no_op,distrdf_py,jit,df104,data,0.460325
no_op,distrdf_py,jit,df104,data,0.459462
no_op,distrdf_py,event_loop,df104,data,22.5846
no_op,distrdf_py,event_loop,df104,data,22.3994
no_op,distrdf_py,event_loop,df104,data,22.4638
no_op,distrdf_py,event_loop,df104,data,22.7594
no_op,distrdf_py,event_loop,df104,data,22.356
opt,distrdf_py,getvalue_trigger,df104,ggh,7.23353409767151
opt,distrdf_py,getvalue_trigger,df104,ggh,7.19808387756348
opt,distrdf_py,getvalue_trigger,df104,ggh,7.24031496047974
opt,distrdf_py,getvalue_trigger,df104,ggh,7.21826195716858
opt,distrdf_py,getvalue_trigger,df104,ggh,7.2142391204834
opt,distrdf_py,jit,df104,ggh,2.481378
opt,distrdf_py,jit,df104,ggh,2.470675
opt,distrdf_py,jit,df104,ggh,2.489954
opt,distrdf_py,jit,df104,ggh,2.47073
opt,distrdf_py,jit,df104,ggh,2.475753
opt,distrdf_py,event_loop,df104,ggh,2.48243
opt,distrdf_py,event_loop,df104,ggh,2.46032
opt,distrdf_py,event_loop,df104,ggh,2.47248
opt,distrdf_py,event_loop,df104,ggh,2.47541
opt,distrdf_py,event_loop,df104,ggh,2.4738
opt,distrdf_py,getvalue_trigger,df104,vbf,1.8570339679718
opt,distrdf_py,getvalue_trigger,df104,vbf,1.84793305397034
opt,distrdf_py,getvalue_trigger,df104,vbf,1.8367190361023
opt,distrdf_py,getvalue_trigger,df104,vbf,1.86397910118103
opt,distrdf_py,getvalue_trigger,df104,vbf,1.83647394180298
opt,distrdf_py,jit,df104,vbf,0.602688
opt,distrdf_py,jit,df104,vbf,0.607743
opt,distrdf_py,jit,df104,vbf,0.605778
opt,distrdf_py,jit,df104,vbf,0.602607
opt,distrdf_py,jit,df104,vbf,0.605043
opt,distrdf_py,event_loop,df104,vbf,1.19911
opt,distrdf_py,event_loop,df104,vbf,1.18788
opt,distrdf_py,event_loop,df104,vbf,1.18054
opt,distrdf_py,event_loop,df104,vbf,1.21015
opt,distrdf_py,event_loop,df104,vbf,1.17962
opt,distrdf_py,getvalue_trigger,df104,data,10.3616631031036
opt,distrdf_py,getvalue_trigger,df104,data,10.4580569267273
opt,distrdf_py,getvalue_trigger,df104,data,10.6616859436035
opt,distrdf_py,getvalue_trigger,df104,data,10.3985319137573
opt,distrdf_py,getvalue_trigger,df104,data,10.3253161907196
opt,distrdf_py,jit,df104,data,0.84678
opt,distrdf_py,jit,df104,data,0.848366
opt,distrdf_py,jit,df104,data,0.851188
opt,distrdf_py,jit,df104,data,0.869265
opt,distrdf_py,jit,df104,data,0.843549
opt,distrdf_py,event_loop,df104,data,9.42668
opt,distrdf_py,event_loop,df104,data,9.52125
opt,distrdf_py,event_loop,df104,data,9.7229
opt,distrdf_py,event_loop,df104,data,9.44139
opt,distrdf_py,event_loop,df104,data,9.39481
opt,distrdf_cpp,getvalue_trigger,df104,ggh,14.1946799755096
opt,distrdf_cpp,getvalue_trigger,df104,ggh,14.1522319316864
opt,distrdf_cpp,getvalue_trigger,df104,ggh,14.1902978420258
opt,distrdf_cpp,getvalue_trigger,df104,ggh,14.1676969528198
opt,distrdf_cpp,getvalue_trigger,df104,ggh,14.1924049854279
opt,distrdf_cpp,jit,df104,ggh,2.470343
opt,distrdf_cpp,jit,df104,ggh,2.486614
opt,distrdf_cpp,jit,df104,ggh,2.481886
opt,distrdf_cpp,jit,df104,ggh,2.478864
opt,distrdf_cpp,jit,df104,ggh,2.479317
opt,distrdf_cpp,event_loop,df104,ggh,2.48586
opt,distrdf_cpp,event_loop,df104,ggh,2.43154
opt,distrdf_cpp,event_loop,df104,ggh,2.45701
opt,distrdf_cpp,event_loop,df104,ggh,2.43667
opt,distrdf_cpp,event_loop,df104,ggh,2.47116
opt,distrdf_cpp,compile_macro,df104,ggh,7.16118502616882
opt,distrdf_cpp,compile_macro,df104,ggh,7.16642189025879
opt,distrdf_cpp,compile_macro,df104,ggh,7.18396306037903
opt,distrdf_cpp,compile_macro,df104,ggh,7.19175601005554
opt,distrdf_cpp,compile_macro,df104,ggh,7.17803192138672
opt,distrdf_cpp,getvalue_trigger,df104,vbf,8.98398995399475
opt,distrdf_cpp,getvalue_trigger,df104,vbf,9.00575613975525
opt,distrdf_cpp,getvalue_trigger,df104,vbf,8.99851989746094
opt,distrdf_cpp,getvalue_trigger,df104,vbf,9.00264000892639
opt,distrdf_cpp,getvalue_trigger,df104,vbf,8.96586799621582
opt,distrdf_cpp,jit,df104,vbf,0.599759
opt,distrdf_cpp,jit,df104,vbf,0.601483
opt,distrdf_cpp,jit,df104,vbf,0.59756
opt,distrdf_cpp,jit,df104,vbf,0.599331
opt,distrdf_cpp,jit,df104,vbf,0.602051
opt,distrdf_cpp,event_loop,df104,vbf,1.19201
opt,distrdf_cpp,event_loop,df104,vbf,1.17007
opt,distrdf_cpp,event_loop,df104,vbf,1.18948
opt,distrdf_cpp,event_loop,df104,vbf,1.17329
opt,distrdf_cpp,event_loop,df104,vbf,1.18437
opt,distrdf_cpp,compile_macro,df104,vbf,7.08469319343567
opt,distrdf_cpp,compile_macro,df104,vbf,7.12784695625305
opt,distrdf_cpp,compile_macro,df104,vbf,7.10454201698303
opt,distrdf_cpp,compile_macro,df104,vbf,7.12470102310181
opt,distrdf_cpp,compile_macro,df104,vbf,7.07170391082764
opt,distrdf_cpp,getvalue_trigger,df104,data,17.419734954834
opt,distrdf_cpp,getvalue_trigger,df104,data,17.4819741249084
opt,distrdf_cpp,getvalue_trigger,df104,data,17.2898440361023
opt,distrdf_cpp,getvalue_trigger,df104,data,17.4177229404449
opt,distrdf_cpp,getvalue_trigger,df104,data,17.4229001998901
opt,distrdf_cpp,jit,df104,data,0.837432
opt,distrdf_cpp,jit,df104,data,0.841829
opt,distrdf_cpp,jit,df104,data,0.83742
opt,distrdf_cpp,jit,df104,data,0.838077
opt,distrdf_cpp,jit,df104,data,0.836926
opt,distrdf_cpp,event_loop,df104,data,9.3912
opt,distrdf_cpp,event_loop,df104,data,9.42307
opt,distrdf_cpp,event_loop,df104,data,9.2468
opt,distrdf_cpp,event_loop,df104,data,9.37617
opt,distrdf_cpp,event_loop,df104,data,9.36335
opt,distrdf_cpp,compile_macro,df104,data,7.04617500305176
opt,distrdf_cpp,compile_macro,df104,data,7.07301902770996
opt,distrdf_cpp,compile_macro,df104,data,7.06102108955383
opt,distrdf_cpp,compile_macro,df104,data,7.05919289588928
opt,distrdf_cpp,compile_macro,df104,data,7.0771861076355
opt,cpp_lambdas,compilation,df104,all_datasets,5.08882
opt,cpp_lambdas,compilation,df104,all_datasets,5.09141
opt,cpp_lambdas,compilation,df104,all_datasets,5.09476
opt,cpp_lambdas,compilation,df104,all_datasets,5.07953
opt,cpp_lambdas,compilation,df104,all_datasets,5.09294
opt,cpp_lambdas,getvalue_trigger,df104,ggh,2.14
opt,cpp_lambdas,getvalue_trigger,df104,ggh,2.12
opt,cpp_lambdas,getvalue_trigger,df104,ggh,2.12
opt,cpp_lambdas,getvalue_trigger,df104,ggh,2.14
opt,cpp_lambdas,getvalue_trigger,df104,ggh,2.15
opt,cpp_lambdas,event_loop,df104,ggh,2.14234
opt,cpp_lambdas,event_loop,df104,ggh,2.12108
opt,cpp_lambdas,event_loop,df104,ggh,2.12136
opt,cpp_lambdas,event_loop,df104,ggh,2.14014
opt,cpp_lambdas,event_loop,df104,ggh,2.15149
opt,cpp_lambdas,getvalue_trigger,df104,vbf,1.01
opt,cpp_lambdas,getvalue_trigger,df104,vbf,1.01
