build_type,test_type,time_type,benchmark_name,dataset_name,time
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,55.3541328907013
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,55.2502830028534
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,56.1382830142975
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,57.4423978328705
no_op,distrdf_py,getvalue_trigger,df102,dimuon_data,55.2899000644684
no_op,distrdf_py,jit,df102,dimuon_data,0.857535
no_op,distrdf_py,jit,df102,dimuon_data,0.859667
no_op,distrdf_py,jit,df102,dimuon_data,0.854223
no_op,distrdf_py,jit,df102,dimuon_data,0.860307
no_op,distrdf_py,jit,df102,dimuon_data,0.866026
no_op,distrdf_py,event_loop,df102,dimuon_data,52.5991
no_op,distrdf_py,event_loop,df102,dimuon_data,52.4994
no_op,distrdf_py,event_loop,df102,dimuon_data,53.3748
no_op,distrdf_py,event_loop,df102,dimuon_data,52.5413
no_op,distrdf_py,event_loop,df102,dimuon_data,54.6719
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,34.9727230072021
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,34.6298470497131
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,34.9735870361328
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,34.6608810424805
opt,distrdf_py,getvalue_trigger,df102,dimuon_data,34.7471768856049
opt,distrdf_py,jit,df102,dimuon_data,1.538926
opt,distrdf_py,jit,df102,dimuon_data,1.540383
opt,distrdf_py,jit,df102,dimuon_data,1.531782
opt,distrdf_py,jit,df102,dimuon_data,1.537435
opt,distrdf_py,jit,df102,dimuon_data,1.538759
opt,distrdf_py,event_loop,df102,dimuon_data,31.0618
opt,distrdf_py,event_loop,df102,dimuon_data,30.7051
opt,distrdf_py,event_loop,df102,dimuon_data,31.0634
opt,distrdf_py,event_loop,df102,dimuon_data,30.7553
opt,distrdf_py,event_loop,df102,dimuon_data,30.7916
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,41.4069581031799
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,41.7512190341949
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,41.518630027771
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,41.4036030769348
opt,distrdf_cpp,getvalue_trigger,df102,dimuon_data,41.520201921463
opt,distrdf_cpp,jit,df102,dimuon_data,1.539064
opt,distrdf_cpp,jit,df102,dimuon_data,1.541803
opt,distrdf_cpp,jit,df102,dimuon_data,1.540025
opt,distrdf_cpp,jit,df102,dimuon_data,1.540296
opt,distrdf_cpp,jit,df102,dimuon_data,1.545097
opt,distrdf_cpp,event_loop,df102,dimuon_data,30.707
opt,distrdf_cpp,event_loop,df102,dimuon_data,31.0612
opt,distrdf_cpp,event_loop,df102,dimuon_data,30.7901
opt,distrdf_cpp,event_loop,df102,dimuon_data,30.7288
opt,distrdf_cpp,event_loop,df102,dimuon_data,30.8166
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.87583804130554
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.8571150302887
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.88135290145874
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.83595585823059
opt,distrdf_cpp,compile_macro,df102,dimuon_data,6.86752700805664
opt,cpp_lambdas,compilation,df102,dimuon_data,3.40777
opt,cpp_lambdas,compilation,df102,dimuon_data,3.4341
opt,cpp_lambdas,compilation,df102,dimuon_data,3.43651
opt,cpp_lambdas,compilation,df102,dimuon_data,3.4328
opt,cpp_lambdas,compilation,df102,dimuon_data,3.43564
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,26.32
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,26.46
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,26.57
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,26.42
opt,cpp_lambdas,getvalue_trigger,df102,dimuon_data,26.43
opt,cpp_lambdas,event_loop,df102,dimuon_data,26.3179
opt,cpp_lambdas,event_loop,df102,dimuon_data,26.4601
opt,cpp_lambdas,event_loop,df102,dimuon_data,26.57
opt,cpp_lambdas,event_loop,df102,dimuon_data,26.4171
opt,cpp_lambdas,event_loop,df102,dimuon_data,26.4254
