build_type,test_type,time_type,benchmark_name,dataset_name,time
no_op,distrdf_py,getvalue_trigger,df103,df_sig_4l,3.35895490646362
no_op,distrdf_py,getvalue_trigger,df103,df_sig_4l,3.34008407592773
no_op,distrdf_py,getvalue_trigger,df103,df_sig_4l,3.34819483757019
no_op,distrdf_py,getvalue_trigger,df103,df_sig_4l,3.35491180419922
no_op,distrdf_py,getvalue_trigger,df103,df_sig_4l,3.36518287658691
no_op,distrdf_py,jit,df103,df_sig_4l,1.440158
no_op,distrdf_py,jit,df103,df_sig_4l,1.432242
no_op,distrdf_py,jit,df103,df_sig_4l,1.435999
no_op,distrdf_py,jit,df103,df_sig_4l,1.444694
no_op,distrdf_py,jit,df103,df_sig_4l,1.440629
no_op,distrdf_py,event_loop,df103,df_sig_4l,0.27048
no_op,distrdf_py,event_loop,df103,df_sig_4l,0.269031
no_op,distrdf_py,event_loop,df103,df_sig_4l,0.270077
no_op,distrdf_py,event_loop,df103,df_sig_4l,0.27053
no_op,distrdf_py,event_loop,df103,df_sig_4l,0.271251
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,2.28884410858154
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,2.28141212463379
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,2.28292417526245
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,2.29798889160156
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,2.29179906845093
no_op,distrdf_py,jit,df103,df_bkg_4mu,0.400324
no_op,distrdf_py,jit,df103,df_bkg_4mu,0.400903
no_op,distrdf_py,jit,df103,df_bkg_4mu,0.40243
no_op,distrdf_py,jit,df103,df_bkg_4mu,0.404754
no_op,distrdf_py,jit,df103,df_bkg_4mu,0.403128
no_op,distrdf_py,event_loop,df103,df_bkg_4mu,1.8383
no_op,distrdf_py,event_loop,df103,df_bkg_4mu,1.83074
no_op,distrdf_py,event_loop,df103,df_bkg_4mu,1.83017
no_op,distrdf_py,event_loop,df103,df_bkg_4mu,1.8434
no_op,distrdf_py,event_loop,df103,df_bkg_4mu,1.83905
no_op,distrdf_py,getvalue_trigger,df103,df_data_doublemu,7.36362409591675
no_op,distrdf_py,getvalue_trigger,df103,df_data_doublemu,7.3117880821228
no_op,distrdf_py,getvalue_trigger,df103,df_data_doublemu,7.3936779499054
no_op,distrdf_py,getvalue_trigger,df103,df_data_doublemu,7.75890493392944
no_op,distrdf_py,getvalue_trigger,df103,df_data_doublemu,7.55435395240784
no_op,distrdf_py,jit,df103,df_data_doublemu,0.407883
no_op,distrdf_py,jit,df103,df_data_doublemu,0.401826
no_op,distrdf_py,jit,df103,df_data_doublemu,0.40237
no_op,distrdf_py,jit,df103,df_data_doublemu,0.403284
no_op,distrdf_py,jit,df103,df_data_doublemu,0.404016
no_op,distrdf_py,event_loop,df103,df_data_doublemu,6.88218
no_op,distrdf_py,event_loop,df103,df_data_doublemu,6.83624
no_op,distrdf_py,event_loop,df103,df_data_doublemu,6.91765
no_op,distrdf_py,event_loop,df103,df_data_doublemu,7.28117
no_op,distrdf_py,event_loop,df103,df_data_doublemu,7.07731
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4el,1.57428097724915
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4el,1.57150292396545
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4el,1.57011699676514
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4el,1.5705349445343
no_op,distrdf_py,getvalue_trigger,df103,df_bkg_4el,1.57063293457031
no_op,distrdf_py,jit,df103,df_bkg_4el,0.407206
no_op,distrdf_py,jit,df103,df_bkg_4el,0.404924
no_op,distrdf_py,jit,df103,df_bkg_4el,0.40802
no_op,distrdf_py,jit,df103,df_bkg_4el,0.403284
no_op,distrdf_py,jit,df103,df_bkg_4el,0.403557
no_op,distrdf_py,event_loop,df103,df_bkg_4el,1.1239
no_op,distrdf_py,event_loop,df103,df_bkg_4el,1.12351
no_op,distrdf_py,event_loop,df103,df_bkg_4el,1.1189
no_op,distrdf_py,event_loop,df103,df_bkg_4el,1.12295
no_op,distrdf_py,event_loop,df103,df_bkg_4el,1.1241
no_op,distrdf_py,getvalue_trigger,df103,df_data_doubleel,1.16505694389343
no_op,distrdf_py,getvalue_trigger,df103,df_data_doubleel,1.1553270816803
no_op,distrdf_py,getvalue_trigger,df103,df_data_doubleel,1.16518497467041
no_op,distrdf_py,getvalue_trigger,df103,df_data_doubleel,1.16030597686768
no_op,distrdf_py,getvalue_trigger,df103,df_data_doubleel,1.16925287246704
no_op,distrdf_py,jit,df103,df_data_doubleel,0.342696
no_op,distrdf_py,jit,df103,df_data_doubleel,0.339547
no_op,distrdf_py,jit,df103,df_data_doubleel,0.341371
no_op,distrdf_py,jit,df103,df_data_doubleel,0.341183
no_op,distrdf_py,jit,df103,df_data_doubleel,0.340661
no_op,distrdf_py,event_loop,df103,df_data_doubleel,0.782747
no_op,distrdf_py,event_loop,df103,df_data_doubleel,0.776854
no_op,distrdf_py,event_loop,df103,df_data_doubleel,0.784036
no_op,distrdf_py,event_loop,df103,df_data_doubleel,0.779936
no_op,distrdf_py,event_loop,df103,df_data_doubleel,0.789202
opt,distrdf_py,getvalue_trigger,df103,df_sig_4l,5.74298000335693
opt,distrdf_py,getvalue_trigger,df103,df_sig_4l,5.75328397750855
opt,distrdf_py,getvalue_trigger,df103,df_sig_4l,5.75290393829346
opt,distrdf_py,getvalue_trigger,df103,df_sig_4l,5.79134392738342
opt,distrdf_py,getvalue_trigger,df103,df_sig_4l,5.74349808692932
opt,distrdf_py,jit,df103,df_sig_4l,3.277013
opt,distrdf_py,jit,df103,df_sig_4l,3.297773
opt,distrdf_py,jit,df103,df_sig_4l,3.285451
opt,distrdf_py,jit,df103,df_sig_4l,3.311027
opt,distrdf_py,jit,df103,df_sig_4l,3.28805
opt,distrdf_py,event_loop,df103,df_sig_4l,0.129794
opt,distrdf_py,event_loop,df103,df_sig_4l,0.129228
opt,distrdf_py,event_loop,df103,df_sig_4l,0.130545
opt,distrdf_py,event_loop,df103,df_sig_4l,0.129265
opt,distrdf_py,event_loop,df103,df_sig_4l,0.129789
opt,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,1.64812898635864
opt,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,1.65283489227295
opt,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,1.65338611602783
opt,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,1.65418195724487
opt,distrdf_py,getvalue_trigger,df103,df_bkg_4mu,1.65458917617798
opt,distrdf_py,jit,df103,df_bkg_4mu,0.779387
opt,distrdf_py,jit,df103,df_bkg_4mu,0.790334
opt,distrdf_py,jit,df103,df_bkg_4mu,0.783882
opt,distrdf_py,jit,df103,df_bkg_4mu,0.788348
opt,distrdf_py,jit,df103,df_bkg_4mu,0.789213
opt,distrdf_py,event_loop,df103,df_bkg_4mu,0.81835
opt,distrdf_py,event_loop,df103,df_bkg_4mu,0.813737
opt,distrdf_py,event_loop,df103,df_bkg_4mu,0.819824
opt,distrdf_py,event_loop,df103,df_bkg_4mu,0.816013
opt,distrdf_py,event_loop,df103,df_bkg_4mu,0.815004
opt,distrdf_py,getvalue_trigger,df103,df_data_doublemu,5.8873188495636
opt,distrdf_py,getvalue_trigger,df103,df_data_doublemu,5.8585410118103
